lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
34264,81904,19554,1.651e-05,0.001,46333,1601620,7439,22685,30124,110,7647.0,31564.0
142067,99650,3320,0.00041097,0.13,5818115,43014289,2385,85335,87720,89320,713.0,156235.0
35653,6548,47490,4.64e-06,0.01,1083,3109841,2047,13345,15392,69,2165.0,13457.0
128491,37633,503,0.00041097,0.1,1987310,1893656,73,2780,2853,6004,61.0,7840.0
107692,15376,5400,4.34e-06,0.3,7186,24912778,912,12887,13799,1017,5439.0,8981.0
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,13356,31053,663.0,35166.0
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135.0,53723.0
36353,21627,4686,0.00182521,0.001,1435068,101355,908,10775,11683,356,976.0,38269.0
39057,65714,5064,2.088e-05,0.001,53592,332806,1911,6692,8603,44,1921.0,9069.0
63893,98092,2131,4.34e-06,0.3,27201,62710725,13637,2268,15905,1969,1107.0,3724.0
51691,40676,21979,0.00491597,0.0005,10336477,447028,5503,357254,362757,8025,5563.0,1185490.0
5706,26934,498,0.00491597,0.3,755606,4026252,150,616,766,979,44.0,995.0
16560,96414,1932,2.483e-05,0.3,39645,55890336,2261,1355,3616,2272,984.0,2287.0
129946,5515,621,0.00047003,0.23,336907,789059,32,1068,1100,2839,41.0,2241.0
12640,140,45958,0.00182521,0.13,3251,841882,37,4370,4407,804,27.0,4864.0
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260,321.0,24623.0
79806,43266,11330,0.00160539,0.13,5543327,63733088,3309,139780,143089,203480,2488.0,357598.0
134593,43061,8367,0.00108175,0.13,6269567,46841184,12142,188265,200407,205587,1827.0,378241.0
63560,8853,14455,2.088e-05,0.05,11749,6399018,1101,9641,10742,622,2103.0,10929.0
1845,30962,44492,0.00952101,0.005,544057,6888066,7506,41238,48744,5525,7210.0,141780.0
137127,18850,4795,2.088e-05,0.13,53972,11750734,266,9416,9682,2596,469.0,11346.0
21271,9831,27835,1.651e-05,0.1,3452,27365508,6441,15338,21779,883,6776.0,13209.0
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,51376,43913,477.0,155025.0
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948,2428.0,3006991.0
118043,87390,12550,0.00182521,0.0005,18828527,548385,7886,706167,714053,7686,7774.0,1589000.0
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38578,38387,1316.0,39233.0
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,11112,4762,1310.0,21088.0
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502,1595.0,66745.0
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104,360.0,43850.0
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899,250.0,18511.0
70411,11972,24600,0.00013363,0.13,112654,38290496,8538,33516,42054,39323,841.0,31380.0
45114,10492,24379,0.00491597,0.01,2327126,2558055,2032,80791,82823,33352,1155.0,301658.0
41951,73668,1031,2.088e-05,0.0005,64530,38008,341,1152,1493,14,333.0,1630.0
117867,21275,9275,0.00018467,0.13,463104,25653800,1947,24610,26557,45113,1823.0,49129.0
31046,27179,1834,4.34e-06,0.2,3662,9974708,614,582,1196,178,116.0,979.0
137034,91065,2431,2.088e-05,0.27,260563,59785667,1865,29664,31529,13050,1164.0,21612.0
90185,32471,5210,0.00047003,0.01,1376457,1691889,1377,17102,18479,5592,1240.0,49944.0
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,526737,303187,5499.0,1050434.0
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,41456,38712,2337.0,112109.0
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,32324,36210,1451.0,40757.0
20715,13469,20208,2.483e-05,0.23,6928,62607935,13529,4109,17638,2968,13057.0,5638.0
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,45162,80420,1630.0,25462.0
124839,80742,12194,4.64e-06,0.05,46770,49230041,13468,38662,52130,3095,12209.0,49356.0
77031,584,19909,0.00491597,0.3,221416,3492264,97,17807,17904,67919,40.0,34985.0
88987,57897,16601,2.483e-05,0.03,127927,28835533,9691,37294,46985,5342,9218.0,49450.0
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399,437.0,157782.0
17053,68211,9327,0.00078778,0.005,916381,3181257,3465,18480,21945,2964,3587.0,53652.0
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,47181,88137,1440.0,77433.0
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223,234.0,472963.0
101995,21211,15495,0.00018467,0.15,399527,49303159,11033,43004,54037,78032,1142.0,65043.0
29391,45554,31508,0.00163948,0.001,2195076,1435322,6961,100695,107656,3973,6743.0,382150.0
6742,75973,24251,2.088e-05,0.01,10695,18424868,11455,8254,19709,328,12745.0,14174.0
1890,69055,1645,0.00013363,0.13,17441,14772155,390,700,1090,357,536.0,1068.0
122872,7667,209,0.00163948,0.05,1544530,80229,20,775,795,1037,13.0,2289.0
86877,14638,14200,0.00108175,0.001,1375721,207877,1483,41671,43154,889,1502.0,124700.0
53857,9873,23597,0.00160539,0.13,853679,30288539,1575,45500,47075,127934,1197.0,118489.0
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,108173,121873,1095.0,284582.0
15769,27519,48905,0.00019487,0.01,84566,13458643,8385,33713,42098,2855,8053.0,51239.0
60528,5350,3159,0.00182521,0.23,591139,3888820,75,4707,4782,18552,100.0,13005.0
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234,2777.0,2927142.0
3325,56230,3560,0.00296184,0.23,553791,46047145,2134,4745,6879,4584,1033.0,12925.0
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,843860,351382,4737.0,1647627.0
109753,87959,416,2.483e-05,0.03,239704,1100024,90,1165,1255,288,115.0,1594.0
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220,1442.0,54496.0
81106,27977,18993,0.00013363,0.13,303222,69078256,15284,49948,65232,76537,1707.0,79298.0
18876,4775,8721,4.64e-06,0.3,418,12495083,170,930,1100,154,117.0,1027.0
66337,2388,7620,8.429e-05,0.23,13356,4186712,135,4400,4535,1580,52.0,5450.0
224,50902,8959,8.429e-05,0.15,962,68406475,14978,1692,16670,412,16030.0,2315.0
19523,934,25662,0.00056263,0.13,10266,3117975,86,4557,4643,1979,63.0,6119.0
16165,37037,2804,0.00082282,0.2,492642,20774488,1066,2905,3971,5642,548.0,8682.0
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950,311.0,193783.0
