lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
29902,28984,38266,0.00108175,0.03,937572,33274410,70277,76994,217923
84201,22342,9230,0.01084252,0.2,20397716,41245006,391455,385863,1042581
2931,62754,8260,0.02533638,0.07,4661285,36287038,51134,24041,200444
49865,41784,1999,0.00082282,0.27,1714412,22559740,5841,16648,24767
32149,36429,16534,0.00002088,0.1,24454,60236341,30421,3922,13334
77232,67089,4255,0.00860544,0.13,44588813,37115150,341898,233931,1014439
39010,9078,33934,0.00370564,0.15,1312402,46212117,79431,189461,241991
110072,20278,11682,0.00860544,0.2,19208585,47382558,621006,444126,1419988
59585,74754,16187,0.00015297,0.005,681372,6050546,38369,4312,88303
59470,41601,16892,0.00041097,0.01,1016753,7027616,38478,14283,111859
73733,72452,704,0.00047003,0.3,2511000,15312633,3234,9113,11516
43133,62942,2652,0.00047003,0.13,1276096,21701382,6466,19887,20810
83377,64028,11307,0.00041097,0.03,2194003,21720017,59569,66023,170219
36458,44661,39969,0.00952101,0.005,15503072,8925613,934983,138056,3176011
48803,4118,39748,0.00047003,0.15,94477,24556103,28241,45468,43682
141588,21428,3550,0.00018467,0.1,560287,7608172,9834,17138,21584
63548,45979,19191,0.00056263,0.05,1643964,44120881,72080,117006,202891
26703,74691,22749,0.00008429,0.01,168118,16992017,38779,3553,56702
63747,46730,22053,0.00082185,0.005,2448262,5152867,94304,19598,311427
131722,73298,2970,0.00034241,0.07,3305963,15243092,35055,44417,78642
33185,86416,16935,0.00952101,0.001,27304208,1463532,680854,24813,2369563
69175,16274,14814,0.00047003,0.05,529169,12055484,22310,29210,59227
109228,25348,5275,0.00163948,0.13,4539417,17384897,71297,93938,160415
142562,37467,3085,0.00041097,0.15,2195162,17338286,26669,58969,54679
147751,75258,10129,0.00031941,0.005,3551712,3811632,128220,14374,294244
32314,2144,8760,0.00296184,0.15,205221,2817707,4814,14211,12748
139897,49460,2960,0.00182521,0.05,12629356,7321594,142512,70782,275669
83826,30839,11021,0.02533638,0.17,65497623,57781073,1372056,1055493,3917770
113894,7882,5236,0.02533638,0.13,22745018,5365824,285441,162839,301817
142464,94820,844,0.00160539,0.3,21686349,24010189,69522,70138,138342
119561,1522,6054,0.01084252,0.17,1973556,1566962,27729,71045,80668
71571,86576,17575,0.01084252,0.03,67184552,45649148,1948960,455431,6344489
53559,66856,3035,0.01084252,0.0005,38825420,101458,186126,3125,604805
81724,58758,3114,0.00002088,0.25,100265,45750072,3911,6319,15494
59148,13274,9381,0.01084252,0.005,8513016,622645,132249,26554,424570
100118,11748,9226,0.00182521,0.25,2146861,27099502,55592,152398,135648
112858,36186,11984,0.00031941,0.13,1304471,56380562,60434,154425,121227
128860,43932,14497,0.00034241,0.005,1938426,3184489,83227,11701,227207
4326,40343,6596,0.00370564,0.13,646812,34596220,7769,6827,25705
33442,7980,13858,0.00041097,0.23,109680,25436471,14760,25018,7927
127953,32276,13165,0.00370564,0.13,15304082,55241997,679207,399589,1404512
7814,59894,5017,0.00047003,0.07,219995,21037113,5512,3822,8869
39260,76247,5278,0.00056263,0.15,1684267,60366717,16575,29867,52737
84252,55455,8994,0.00013363,0.07,624351,34917097,30762,36571,61989
104484,3891,5277,0.00491597,0.13,1998911,2669932,25872,58553,70001
50720,6003,36444,0.00108175,0.17,329375,37192673,43212,134107,85870
47679,20880,10732,0.01084252,0.05,10794459,11205034,187032,83706,610004
14048,771,13751,0.00860544,0.15,93233,1590754,3281,10364,8331
23231,3666,17528,0.01084252,0.15,923543,9640168,23470,51971,87796
131503,46495,3807,0.00019487,0.27,1191490,47802468,30850,69208,38575
42661,98275,810,0.00082282,0.3,3449722,23882852,4908,11151,16124
124491,2989,8506,0.00019487,0.25,72515,6356963,10439,12515,16672
41526,6876,37572,0.00002483,0.17,7090,43921099,21326,3534,30719
73264,36226,14057,0.00860544,0.05,22839600,25462876,536907,254696,1729985
109787,84007,12567,0.00082185,0.005,7579868,5278713,287485,39415,673062
92892,29227,5911,0.00015297,0.23,415318,39742536,22950,49584,23075
12871,12566,48371,0.00078778,0.1,127428,60786423,39145,47300,67548
136773,60533,4472,0.00002088,0.13,172872,35191674,21816,8839,20734
12971,33483,15175,0.00182521,0.13,792721,66058274,19275,27075,69629
77879,63025,11611,0.00013363,0.05,655911,36592561,37782,29292,75373
41815,28148,4767,0.02533638,0.3,29821998,40258047,207516,247776,718715
115202,59641,6193,0.00160539,0.03,11030405,11082500,212349,97268,466523
50522,8252,10560,0.00296184,0.05,1234850,4357242,22221,36522,73017
35557,50527,33258,0.02533638,0.005,45519939,8402353,2244357,174933,7688832
73339,16870,16588,0.00182521,0.23,2258237,64363645,84968,226839,212262
9299,41487,5783,0.00078778,0.25,303943,59988259,5219,7832,12612
