lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,4308,9590
126922,57792,10927,0.00108175,0.005,7934737,3157595,4789,285741,290530,35739
149955,36504,9381,2.48E-05,0.2,135920,68490979,2745,43214,45959,20717
36139,72013,4378,0.00041097,0.03,1069560,9458446,3137,10387,13524,9574
148354,99024,4604,0.00370564,0.13,54438984,59269117,3096,943274,946370,466170
54699,76215,798,0.00491597,0.17,20494607,10346173,617,25478,26095,24194
66980,36237,9185,0.00082487,0.13,2002126,43272073,10028,48177,58205,90976
141073,28126,2326,0.00160539,0.005,6369983,327166,108,52735,52843,5104
37092,15365,48284,1.65E-05,0.07,9409,51934231,12710,38043,50753,3064
53386,9774,22227,1.65E-05,0.27,8615,58664254,12630,20011,32641,4190
105119,8191,8952,0.00108175,0.15,931427,10999742,651,23168,23819,78388
100983,44691,9699,0.00082282,0.07,3713475,30343085,8312,97746,106058,135842
143676,14415,5210,0.00082487,0.17,1708472,12770319,674,26564,27238,86582
117913,8575,11004,0.00019487,0.15,197035,14154596,847,18374,19221,26809
143129,14578,12341,0.00015297,0.23,319183,41380938,1798,37084,38882,81732
74042,43256,5628,0.01084252,0.27,34726753,65739047,2086,347495,349581,468606
126823,88859,2657,0.00163948,0.15,18476023,35422494,1662,182056,183718,114249
138522,71083,4335,0.00056263,0.2,5540010,61642556,14956,79770,94726,141877
67946,1906,17897,0.02533638,0.2,3281547,6823200,123,87499,87622,181142
84008,18577,1006,0.02533638,0.2,39540932,3740510,77,73877,73954,68760
23962,71633,21505,0.00056263,0.03,965770,46214520,15810,46116,61926,47498
27872,33660,4176,0.00860544,0.3,8073829,42171004,1683,47880,49563,71722
119534,14986,296,0.00952101,0.15,17056374,665588,33,14152,14185,10109
139920,39416,1928,0.00019487,0.2,1074756,15202048,248,9523,9771,27114
118113,63168,1877,0.00491597,0.27,36678218,32014833,1389,204898,206287,196682
38901,3854,43891,0.00108175,0.3,162196,50751830,1889,38007,39896,130032
116768,68224,6487,0.00491597,0.07,39163128,30982527,2804,753570,756374,223395
52392,2000,17644,0.02533638,0.2,2655227,7058675,179,65572,65751,137324
143170,72851,5332,0.00015297,0.13,1595504,50497653,11770,44382,56152,76801
84614,4018,3725,0.00160539,0.3,545845,4491306,75,6613,6688,29914
95682,28543,1972,0.00047003,0.23,1283700,12948869,289,5568,5857,23495
49881,6891,20796,0.00082487,0.17,283538,24362044,1288,24131,25419,66033
11199,26434,11001,0.02533638,0.13,7500968,37806953,10390,101110,111500,78366
51832,91023,2937,0.00019487,0.13,919394,34762377,8063,7254,15317,16514
143052,52536,2399,0.00078778,0.07,5920522,8823825,1027,54997,56024,47971
41430,11930,28171,2.09E-05,0.2,10320,67221162,2693,34839,37532,4985
37623,1710,39221,0.00108175,0.3,69604,20122893,359,17875,18234,53721
22104,24818,5378,0.00182521,0.25,1001316,33370838,1490,7720,9210,17757
22778,10815,19643,0.00056263,0.13,138607,27618796,6532,13860,20392,28763
81401,45610,6643,0.00108175,0.17,4016255,51508589,2190,69294,71484,105952
16040,39396,27507,0.00952101,0.001,6016511,1083671,6054,235257,241311,11554
99144,97504,3991,0.00163948,0.15,15848898,58377287,16805,158802,175607,131483
52305,19935,7537,0.00296184,0.17,3088399,25546284,1473,44282,45755,70912
12228,10281,22617,0.00013363,0.23,16801,53483788,1903,19699,21602,6471
89931,29792,8757,0.00860544,0.23,23056524,60007616,2024,486978,489002,477102
84555,83918,22255,0.00182521,0.03,12951257,56030479,21183,648800,669983,306278
18829,7341,36671,0.02533638,0.25,3502645,67309410,2145,182188,184333,247841
128577,13435,1547,0.00860544,0.23,14865353,4781979,86,69849,69935,59866
94579,26926,7130,0.00182521,0.27,4648272,51843188,2095,96287,98382,158399
89300,62672,2675,0.00370564,0.2,20739217,33537183,1698,152981,154679,126078
99044,73254,1425,0.00296184,0.15,21489714,15659006,932,79985,80917,60919
9399,66337,15140,0.00013363,0.03,83327,30132156,9780,13616,23396,3220
74758,70969,1479,0.00031941,0.15,1694668,15753736,383,5916,6299,20893
86717,41736,3127,0.00078778,0.13,2851196,16971095,1149,25575,26724,44749
46242,36529,1934,0.00082282,0.2,1389925,14131215,292,4796,5088,13070
119596,15184,2537,0.00952101,0.17,17289871,6549136,173,130484,130657,107167
50024,20037,8913,0.00182521,0.27,1829576,48222376,1894,38775,40669,84144
121993,53221,11925,0.00019487,0.005,1265219,3173431,3594,46833,50427,5798
51310,66327,13468,8.43E-05,0.07,286863,62532293,15428,39139,54567,33783
131972,55300,2384,8.43E-05,0.25,615158,32968910,1343,16749,18092,32219
13603,10089,26357,8.43E-05,0.15,11568,39888940,9149,3757,12906,3763
8877,3484,43992,0.00031941,0.3,9881,45990272,1824,19359,21183,8109
113491,42518,3849,0.00163948,0.2,7911293,32733423,1719,102140,103859,113186
27348,47832,5357,0.00082487,0.17,1079063,43565662,1849,10260,12109,21240
145187,329,915,0.02533638,0.07,1213491,21132,10,3463,3473,4018
37622,36955,6996,0.00163948,0.15,2279445,38783402,9338,23146,32484,48353
87665,48729,17510,0.00296184,5.00E-04,12652686,426640,5665,495255,500920,9790
13215,37014,43155,0.00370564,0.01,1812736,15973788,10216,113954,124170,46605
58665,5597,29984,0.02533638,0.15,8319487,25174495,1607,390087,391694,403301
45905,49663,2602,0.00082487,0.15,1880558,19387924,1250,7732,8982,16608
119068,16505,16260,0.00108175,0.13,2126011,34892418,8647,100324,108971,232630
37912,55799,16428,0.00041097,0.03,869404,27501373,8984,31704,40688,35274
29273,47975,30238,0.00018467,0.01,259353,14507068,8951,40627,49578,9360
65650,18087,19824,0.00491597,0.05,5837537,17929190,6148,198283,204431,176750
94087,88687,10808,0.00082185,0.07,6857851,67103577,18269,203999,222268,207818
108444,591,18014,0.01084252,0.1,694959,1064736,47,32534,32581,66910
25990,4298,32818,0.00019487,0.27,21773,38093822,1512,21544,23056,20527
141815,72084,4985,0.00182521,0.15,18658731,53907250,2535,362039,364574,228512
81769,27614,21821,0.00160539,0.05,3624945,30128791,8910,156855,165765,189688
63894,38439,4471,0.00860544,0.27,21135422,46407078,1695,169961,171656,211908
106923,44899,8525,0.01084252,0.15,52052697,57416751,2638,1184739,1187377,712082
37515,49256,17206,0.00082282,0.07,1520477,59327094,14557,64578,79135,82099
73918,20432,14602,0.00108175,0.05,1633797,14918346,4313,47641,51954,78164
32352,73752,28061,0.00163948,0.01,3911935,20695721,13470,174420,187890,75940
142193,76384,6370,1.65E-05,0.07,179321,34060442,8441,26112,34553,14944
53503,57268,1850,0.00860544,0.3,26367431,31798087,1048,72508,73556,107265
93935,73922,13905,0.00034241,0.005,2377694,5139488,5690,77431,83121,14305
18107,12950,22537,0.00015297,0.23,35872,67129085,2372,33063,35435,26974
111945,49638,6764,0.01084252,0.01,60249528,3357904,13059,1071806,1084865,134543
38161,17898,18304,0.00056263,0.15,384302,49144312,10708,33311,44019,62884
44607,19677,39166,0.00952101,0.005,8357244,3853527,5661,477671,483332,92943
11367,36617,26881,0.00041097,0.01,171068,9843198,6027,20275,26302,3148
46820,35088,10000,0.00056263,0.13,924313,45617340,10143,16832,26975,59092
38268,81011,14807,0.00047003,0.03,1457165,35986213,12288,43058,55346,46217
132093,55926,7122,0.00082282,0.15,6078625,59750458,14623,160321,174944,201807
51899,68702,24643,0.00082487,0.005,2941198,8465346,9321,121013,130334,27109
18531,49721,8755,0.00056263,0.07,518413,30473466,7497,10840,18337,15634
124443,1564,13001,0.00860544,0.13,1675223,2644071,94,49398,49492,135082
534,13928,46240,0.00078778,0.1,5865,64406972,14545,3492,18037,3056
26151,48158,4480,0.00370564,0.005,4666996,1078821,1837,28736,30573,5921
5039,15645,35277,0.00082282,0.1,64872,55191732,12709,10211,22920,12864
6114,42664,21141,0.00370564,0.07,966637,63139837,15371,32353,47724,23173
20374,10310,31417,0.00018467,0.05,38792,16196325,4394,15377,19771,4131
66970,42015,17454,0.00034241,0.07,963482,51334084,12650,56459,69109,82683
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586
91534,90483,8372,0.00056263,0.005,4659902,3787658,4711,93334,98045,14965
89398,60028,20137,0.00952101,5.00E-04,51094075,604412,15981,2301706,2317687,36508
88618,85186,4158,0.00082282,0.005,6211553,1771071,2949,61762,64711,11797
112303,45995,9913,2.09E-05,0.1,107854,45596748,10469,31746,42215,19662
42770,49462,28457,0.01084252,0.01,22937950,14076127,12770,952512,965282,169504
13828,42270,43148,0.01084252,5.00E-04,6337939,911958,8794,357296,366090,9830
136012,27908,6746,0.00047003,0.3,1784207,56486517,2421,53072,55493,136643
16672,417,36969,0.00491597,0.15,34197,2313742,75,5789,5864,11547
75568,16383,12784,0.00047003,0.2,581926,41891097,1580,35713,37293,92044
97236,43938,16814,0.00019487,0.07,832563,51714974,12796,58528,71324,102600
59960,96891,15808,0.00013363,0.03,776342,45951036,15343,55975,71318,38133
68113,13437,20825,0.00041097,0.17,376160,47574732,10361,31145,41506,108063
119923,10303,10249,0.00491597,0.13,6074116,13728464,358,174131,174489,194588
20934,24889,3564,0.00160539,0.13,836506,11532585,358,5053,5411,12540
12772,39884,13684,0.00370564,0.005,1887745,2729065,3181,34251,37432,9068
105590,56113,7015,0.00082282,0.01,4875209,3936776,3636,100157,103793,30323
