lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
137034,91065,2431,2.088e-05,0.27,260563,59785667,12479001210,221379015,333129654,30336451941510,5.6376e-06,1878.0517373904001,171024781.46545678,29664,13050,21612
90185,32471,5210,0.00047003,0.01,1376457,1691889,2928397135,169173910,469863850,15256949073350,4.7003000000000006e-06,2208.501054155,71712237.72946702,17102,5592,49944
144112,87176,13029,0.00082487,0.05,10363023,56795187,12563107712,1135816104,1877635248,163684730379648,4.1243500000000006e-05,77440.249350888,6750931177.413013,509582,303187,1050434
22530,10253,48658,0.00160539,0.03,370866,14967638,231000090,498890474,1096264740,11240002379220,4.81617e-05,52797.973528457995,541337622.5872799,36691,38712,112109
26419,12879,25452,0.00056263,0.1,191449,32781952,340250301,327796308,672416388,8660050661052,5.626300000000001e-05,37832.163238044006,487240430.3427688,24685,36210,40757
40505,12378,27829,0.00041097,0.2,206065,68898718,501370890,344467362,1127213645,13952650497810,8.2194e-05,92650.19833713,1146824155.0169952,42474,80420,25462
124839,80742,12194,4.64e-06,0.05,46770,49230041,10079750538,984567948,1522286766,122912478060372,2.3199999999999999e-07,353.17052971199996,28515694.910006303,38662,3095,49356
77031,584,19909,0.00491597,0.3,221416,3492264,44986104,11626856,1533610179,895628344536,0.001474791,2261754.489497589,1320864621.8665922,17807,67919,34985
46389,21677,12584,0.00082185,0.17,826472,46376622,1005574353,272783368,583759176,12654147658152,0.0001397145,81559.62139525199,1767967912.9848776,34539,74011,62307
88987,57897,16601,2.483e-05,0.03,127927,28835533,5152080339,961148097,1477273187,85529685707739,7.449e-07,1100.4207969963002,63711062.88369478,37294,5342,49450
74393,61781,3466,0.00182521,0.23,8388939,49256590,4596073933,214132946,257846138,15929992251778,0.00041979830000000003,108243.37039396541,6687383666.309577,71328,93399,157782
70243,18581,15137,0.00056263,0.13,734374,36566022,1305185183,281260597,1063268291,19756588115071,7.31419e-05,77769.46301349292,1445034392.2537117,38609,88137,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,6516807562,89682940,136384870,8928026359940,0.001290816,176047.77235392,11524439273.832312,185531,116223,472963
101995,21211,15495,0.00018467,0.15,399527,49303159,2163415945,328664445,1580412525,33522130067775,2.77005e-05,43778.2171487625,928579763.9424014,43004,78032,65043
29391,45554,31508,0.00163948,0.001,2195076,1435322,1338877614,1435315432,926051628,42185355861912,1.63948e-06,1518.24312307344,69162047.22848749,100695,3973,382150
105828,74577,396,0.00056263,0.2,4440503,5911526,7892334756,29532492,41907888,3125364563376,0.00011252600000000001,4715.727005088001,351684772.8584478,4464,7926,12497
53857,9873,23597,0.00160539,0.13,853679,30288539,531730161,232973181,1270863629,12547236609117,0.0002087007,265230.1289768403,2618617063.3883443,45500,127934,118489
46060,31593,12477,0.00296184,0.15,4310071,59129895,1455173580,394185861,574690620,18156200757660,0.00044427599999999996,255321.24989111998,8066364247.810154,105406,121873,284582
