lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
91142,12972,5935,0.00860544,0.25,10174449,19249592,430,138703,139133,185823
119981,16464,15334,0.00491597,0.23,9711217,58070574,1899,458290,460189,531187
52888,85865,4136,0.01084252,0.005,49238999,1775691,10527,300885,311412,26473
88707,27388,1625,0.00056263,0.03,1366926,1335779,116,5868,5984,4582
143769,831,14638,0.00056263,0.3,67259,3651449,63,17163,17226,19677
13864,64032,10136,0.00018467,0.07,163951,45434242,11029,11387,22416,17626
104630,9380,10427,0.02533638,0.15,24867579,14672396,331,565623,565954,341557
147112,7137,7651,0.00082282,0.17,863924,9283280,177,22805,22982,75155
143793,94530,4731,0.00082487,0.13,11212368,58149374,15803,191913,207716,162516
10259,33362,19781,0.00056263,0.05,192576,32997732,9199,14593,23792,11940
50918,55054,16409,0.00082487,0.07,2312356,63239497,16013,83356,99369,132713
7063,59916,4350,0.00370564,0.23,1568345,59946608,13566,10452,24018,13803
59727,21613,3717,0.00018467,0.2,238399,16068081,735,6688,7423,11422
76453,4896,13464,0.00296184,0.3,1108729,19777828,254,31597,31851,132734
46157,10736,40629,0.00108175,0.03,536103,13087097,4464,46660,51124,48013
33699,35145,10559,0.00034241,0.17,405551,63091417,13909,10563,24472,45367
71007,30439,12782,0.00491597,0.03,10625341,11672683,6061,227870,233931,123118
18458,7585,7211,0.00296184,0.13,414729,7111664,167,4401,4568,14536
105512,17486,14266,0.00034241,0.25,631755,62369043,1977,46866,48843,155289
128996,668,6676,0.00370564,0.15,319550,669462,30,10414,10444,19749
41096,24657,10578,8.43E-05,0.2,85416,52171098,1986,17431,19417,23277
99054,52000,7063,0.00860544,0.1,44325446,36727967,2410,773575,775985,364288
69350,66165,24872,0.01084252,0.005,49752332,8228563,16882,1990662,2007544,224541
90282,18060,8953,0.00082185,0.23,1340051,37192600,1533,35571,37104,111553
124279,58082,2980,0.00182521,0.13,13175139,22507337,1586,140587,142173,101269
88522,83673,11253,0.00031941,0.005,2365859,4708172,5008,65857,70865,12608
114694,60913,2437,0.00952101,0.3,66518534,44551133,1660,460694,462354,442399
52755,19228,29793,0.00370564,0.005,3759071,2864446,3815,179294,183109,35975
56308,63527,3129,2.09E-05,0.25,74690,49705772,2069,3335,5404,4850
41358,4737,34011,0.02533638,0.2,4964527,32227261,1557,251656,253213,330888
46695,49204,25095,0.00370564,0.01,8514146,12347903,9551,353303,362854,111936
36936,6590,2715,0.02533638,0.25,6167237,4474496,131,24347,24478,32803
36886,1104,36185,0.00047003,0.15,19148,5994766,227,12233,12460,8372
32152,41437,13492,0.00056263,0.01,749593,5590941,3655,23815,27470,9099
51851,42871,2236,0.00370564,0.27,8237471,25889428,1028,29105,30133,46592
78317,2304,19474,0.01084252,0.3,1956645,13461883,424,64871,65295,197538
99388,95942,2157,0.00370564,0.01,35335477,2069510,1023,204750,205773,26649
116813,8656,13214,0.00182521,0.15,1845678,17158782,1175,62586,63761,173197
78524,34189,1356,0.02533638,0.27,68020463,12526240,329,156229,156558,188039
81158,19385,23201,0.01084252,0.15,17058303,67463688,3162,713878,717040,667374
118723,60359,1978,0.00034241,0.25,2453753,29854532,1263,21604,22867,33824
5211,22027,8867,0.02533638,0.13,2908344,25393712,1943,30528,32471,26308
37321,9144,21010,0.00056263,0.03,192024,5764014,2110,14720,16830,10135
38096,79519,12287,0.00296184,5.00E-04,8972688,488551,5520,177918,183438,3692
149249,28237,4499,1.65E-05,0.25,69581,31763777,1320,17961,19281,5847
22681,37576,8495,0.01084252,0.001,9240765,319239,2759,109994,112753,3869
36175,27555,49444,0.00860544,0.05,8578138,68124160,20468,665320,685788,314825
55220,10260,1949,0.02533638,0.15,14354821,3000325,96,41622,41718,36485
82834,27528,11551,0.00370564,0.07,8450081,22259394,7439,201286,208725,169476
57572,49419,13423,8.43E-05,0.1,239824,66339884,15448,44481,59929,38294
145900,29249,749,0.00082487,0.1,3520111,2193534,78,9352,9430,14734
51088,4313,38837,2.48E-05,0.25,5471,41877684,1909,29194,31103,3839
45989,23295,46367,0.00041097,0.05,440296,54008623,14524,70096,84620,104981
85608,1185,16673,0.00491597,0.3,498919,5929883,90,23803,23893,116489
103489,82431,15848,8.43E-05,0.03,719056,39191679,12895,59461,72356,36326
62017,15100,12497,0.00860544,0.005,8058934,943624,2342,163160,165502,32038
133800,71093,3860,0.00034241,0.15,3257110,41167728,9894,42697,52591,88024
95026,34277,7110,0.00082282,0.07,2680162,17061553,4883,48372,53255,79110
50174,13136,4728,0.00108175,0.27,713000,16771400,233,9687,9920,30232
94870,79073,1688,0.00182521,0.17,13692307,22692559,1225,59074,60299,56206
31416,31011,14088,0.00182521,0.13,1778248,56798857,3154,61996,65150,76516
102226,64341,11273,0.00491597,5.00E-04,32334201,362691,7996,984482,992478,10120
53186,1287,8661,0.00860544,0.25,589116,2787289,54,10255,10309,44727
34417,1747,45555,0.00182521,0.05,109755,3979659,201,18585,18786,16654
61712,4078,13587,0.00082185,0.27,206835,14961461,246,12740,12986,47698
9633,54419,3999,0.00018467,0.23,96810,50056127,10912,3083,13995,4361
8385,43049,18200,0.00082185,0.07,296682,54846552,13438,16980,30418,15383
72860,65820,10732,0.00860544,0.03,41269493,21192706,14746,744925,759671,213040
55104,10152,26318,0.00078778,0.03,440706,8015772,2666,29525,32191,27268
40299,18926,19782,0.00082487,0.17,629160,63650958,14070,21550,35620,100335
14254,77754,5421,0.00034241,0.07,379503,29509723,7541,8653,16194,7524
47983,6395,5719,0.00019487,0.27,59806,9877368,208,4713,4921,5877
113168,68505,1672,0.00019487,0.25,1510772,28650228,1178,6627,7805,26317
19408,1386,21340,0.00108175,0.17,29119,5031535,107,4702,4809,5411
91212,82354,19952,0.00078778,0.001,5917606,1643156,8447,276689,285136,9849
142586,4318,12859,0.00019487,0.23,119994,12772463,194,18603,18797,24670
39883,47133,23406,0.00108175,0.001,2033552,1103223,5554,74286,79840,3267
25503,65751,31716,0.00860544,0.01,14430590,20854008,15618,673712,689330,114277
123501,14829,9360,0.00018467,0.15,338220,20822730,1287,22228,23515,40837
14103,73470,12195,0.00078778,0.01,816312,8960188,5661,22412,28073,11229
50306,11135,2303,0.00370564,0.23,2075802,5899152,154,6687,6841,21197
15715,40226,9712,0.02533638,5.00E-04,16017199,195342,4237,212364,216601,3759
149508,3241,14350,0.00108175,0.13,524280,6047541,189,30752,30941,65324
108337,9776,17332,0.00034241,0.23,362662,38973167,1667,38343,40010,112551
35009,9682,18090,0.00041097,0.15,139309,26274117,1630,18428,20058,28340
77302,26516,16055,0.02533638,0.005,51934008,2128684,11231,1309572,1320803,156279
46498,92174,22576,0.00056263,0.01,2411438,20810150,13401,108724,122125,46109
67996,74079,25691,0.00082185,0.005,4139756,9515970,10883,193726,204609,45662
134117,56959,3187,0.00056263,0.17,4298113,30869237,1793,55633,57426,83940
