lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
71630,54634,1408,0.00296184,0.3,11591069,23091874,768,28668,29436,49367,176,93014
18829,7341,36671,0.02533638,0.25,3502645,67309410,2145,182188,184333,247841,572,666427
26889,71999,9831,0.00370564,0.01,7174091,7078480,5636,106373,112009,29793,5511,378972
99044,73254,1425,0.00296184,0.15,21489714,15659006,932,79985,80917,60919,269,197743
50934,66250,15893,0.00491597,0.03,16588394,31588707,13683,415649,429332,166783,4882,1429942
46242,36529,1934,0.00082282,0.2,1389925,14131215,292,4796,5088,13070,307,16240
39751,9041,20031,0.00018467,0.2,66377,36224403,1802,18206,20008,25557,379,24320
77588,7012,13176,0.00108175,0.17,588548,15707328,299,22254,22553,76503,232,54712
51310,66327,13468,8.43e-05,0.07,286863,62532293,15428,39139,54567,33783,2379,60193
8877,3484,43992,0.00031941,0.3,9881,45990272,1824,19359,21183,8109,376,16409
27624,52458,15862,0.00163948,0.005,2375820,4160472,4588,59642,64230,13549,4786,216479
50762,86228,9706,0.01084252,0.0005,47459485,418503,11041,723059,734100,11979,11032,2416551
27348,47832,5357,0.00082487,0.17,1079063,43565662,1849,10260,12109,21240,1309,44795
145187,329,915,0.02533638,0.07,1213491,21132,10,3463,3473,4018,6,3525
37622,36955,6996,0.00163948,0.15,2279445,38783402,9338,23146,32484,48353,835,89328
42382,53674,3279,0.00056263,0.2,1279906,35208943,1764,7634,9398,18861,920,33676
16099,54215,4437,0.00034241,0.17,298866,40895601,9473,5164,14637,7928,1236,10965
13215,37014,43155,0.00370564,0.01,1812736,15973788,10216,113954,124170,46605,8927,432817
58665,5597,29984,0.02533638,0.15,8319487,25174495,1607,390087,391694,403301,639,1315589
119068,16505,16260,0.00108175,0.13,2126011,34892418,8647,100324,108971,232630,1366,252763
65650,18087,19824,0.00491597,0.05,5837537,17929190,6148,198283,204431,176750,1745,630627
94087,88687,10808,0.00082185,0.07,6857851,67103577,18269,203999,222268,207818,4673,476947
108444,591,18014,0.01084252,0.1,694959,1064736,47,32534,32581,66910,35,88239
25990,4298,32818,0.00019487,0.27,21773,38093822,1512,21544,23056,20527,567,26381
81769,27614,21821,0.00160539,0.05,3624945,30128791,8910,156855,165765,189688,2932,470356
32352,73752,28061,0.00163948,0.01,3911935,20695721,13470,174420,187890,75940,11167,594605
53503,57268,1850,0.00860544,0.3,26367431,31798087,1048,72508,73556,107265,559,250221
18107,12950,22537,0.00015297,0.23,35872,67129085,2372,33063,35435,26974,578,9846
23590,50019,790,0.01084252,0.3,12793700,11868472,157,13706,13863,21601,219,51898
69020,29619,10640,0.00160539,0.05,3281969,15758694,4961,63950,68911,82509,1524,198465
46820,35088,10000,0.00056263,0.13,924313,45617340,10143,16832,26975,59092,1098,56663
38268,81011,14807,0.00047003,0.03,1457165,35986213,12288,43058,55346,46217,10797,147897
51899,68702,24643,0.00082487,0.005,2941198,8465346,9321,121013,130334,27109,9282,413429
100503,41730,17765,0.00082282,0.001,3450970,741384,4032,145298,149330,3884,3915,407447
124443,1564,13001,0.00860544,0.13,1675223,2644071,94,49398,49492,135082,55,147560
534,13928,46240,0.00078778,0.1,5865,64406972,14545,3492,18037,3056,14366,6862
5039,15645,35277,0.00082282,0.1,64872,55191732,12709,10211,22920,12864,12273,20941
6114,42664,21141,0.00370564,0.07,966637,63139837,15371,32353,47724,23173,14397,116566
142799,91268,3641,0.00019487,0.2,2539749,66471738,2590,54365,56955,86090,700,72686
66970,42015,17454,0.00034241,0.07,963482,51334084,12650,56459,69109,82683,3591,125932
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586,151,54877
91534,90483,8372,0.00056263,0.005,4659902,3787658,4711,93334,98045,14965,4827,255064
89398,60028,20137,0.00952101,0.0005,51094075,604412,15981,2301706,2317687,36508,12553,5881714
128372,79220,6917,0.00047003,0.03,4780060,16440271,6180,108521,114701,73866,2560,257517
60438,8929,15095,0.00108175,0.27,583790,36393207,1444,31308,32752,108581,455,56248
136012,27908,6746,0.00047003,0.3,1784207,56486517,2421,53072,55493,136643,730,91244
78999,60750,8504,0.00182521,0.01,8759666,5166703,4729,139352,144081,50558,2314,419761
16672,417,36969,0.00491597,0.15,34197,2313742,75,5789,5864,11547,45,10632
35846,61657,3717,0.00031941,0.15,705954,34379891,7653,6199,13852,15624,7676,17634
20934,24889,3564,0.00160539,0.13,836506,11532585,358,5053,5411,12540,443,17103
132120,96192,6405,1.65e-05,0.05,209826,30806895,7749,27659,35408,6377,7910,35291
12772,39884,13684,0.00370564,0.005,1887745,2729065,3181,34251,37432,9068,3096,139591
70048,28008,26539,0.00082185,0.05,1612399,37166650,10781,91896,102677,152568,3666,268499
100808,17638,14925,0.00082282,0.2,1463054,52651214,12089,58711,70800,209877,1394,153153
129536,95059,1952,0.00078778,0.17,9700462,31551020,1824,81077,82901,72505,711,141395
65163,9342,6235,0.00082282,0.03,500927,1747705,147,8758,8905,7724,104,22300
58225,64324,30532,0.00860544,0.03,32230464,58919556,25281,1607057,1632338,435324,9287,5270161
146306,88028,7276,8.43e-05,0.01,1085579,6405159,3987,31628,35615,8953,4037,80415
14556,57246,26971,0.00370564,0.03,3087915,46321340,16222,119398,135620,61188,13911,478572
67585,15411,9898,0.00108175,0.01,1126733,1525502,1201,22320,23521,8385,1140,68994
32462,15191,13139,0.00163948,0.27,808537,53896833,2225,36464,38689,69020,1537,62002
28228,11045,15236,0.00041097,0.2,128145,33659647,1709,18305,20014,30814,632,9310
71474,69560,20116,0.01084252,0.03,53906672,41978567,23224,1798061,1821285,425777,6622,5826298
57949,5272,7868,0.00082185,0.25,251103,10371988,160,8206,8366,30776,233,17656
131054,99310,12348,0.00082282,0.0005,10709064,613151,7114,448522,455636,4571,7407,980413
16321,5681,20462,0.00108175,0.25,100302,29062590,1193,15467,16660,30216,261,14380
121477,76645,4221,0.00108175,0.2,10071912,64704944,2577,165724,168301,174168,653,302937
13665,51673,35578,0.00296184,0.001,2091471,1838479,8932,110533,119465,5071,8573,420901
8068,7164,27509,0.00056263,0.3,32525,59128652,2295,24973,27268,25835,1189,8501
28048,74855,22865,0.00041097,0.03,862884,51349575,17632,48293,65925,61197,15618,133965
39622,7533,18033,0.00860544,0.23,2568732,31246910,1353,75367,76720,128306,290,248510
74912,1334,3484,0.00160539,0.27,160485,1255295,38,3318,3356,9640,26,5948
33516,14747,19335,0.00108175,0.17,534712,48476577,11110,27566,38676,86110,1476,63813
95780,10019,13673,0.00860544,0.2,8258001,27398640,1482,276399,277881,335815,486,686060
116600,39982,10365,2.48e-05,0.13,115757,53874609,12414,38206,50620,13211,11856,33881
43985,51149,5612,0.00019487,0.2,438430,57413097,2298,31485,33783,23857,1504,31085
44532,42425,24016,0.00082282,0.01,1554564,10188931,6791,67842,74633,28841,6738,225478
78377,82115,5569,4.64e-06,0.15,29862,68598327,15441,6255,21696,3571,22405,8498
74690,89120,1325,0.00952101,0.3,63375803,35445931,1300,137558,138858,203002,642,447124
28925,32171,1179,0.02533638,0.25,23577756,9490568,147,40251,40398,42091,94,143374
27798,99771,1086,0.00082185,0.15,2279420,16265520,393,5230,5623,5436,4360,14776
